w1,w2,w3,deform
0.2645,0.25824,0.27566,1
0.26352,0.26049,0.27388,2
0.26379,0.26011,0.27282,3
0.26435,0.25796,0.27338,2
0.26348,0.2584,0.27476,2
0.26312,0.25885,0.27315,1
0.26489,0.25889,0.27278,2
0.2638,0.25623,0.27413,4
0.26339,0.25897,0.27367,5
0.2646,0.25839,0.27337,3
0.26407,0.25869,0.2732,2
0.26309,0.25953,0.27324,3
0.26312,0.25861,0.27294,5
0.26309,0.25841,0.27248,5
0.26312,0.25891,0.27291,3
0.26336,0.25852,0.27302,2
0.26376,0.25847,0.273,3
0.26418,0.25839,0.27329,4
0.26309,0.25832,0.2724,6
0.26368,0.25955,0.27307,4
0.26299,0.25921,0.27216,3
0.26603,0.25996,0.2735,2
0.26406,0.25889,0.27448,2
0.26336,0.2575,0.2732,5
0.26287,0.25834,0.27124,1
0.26401,0.25904,0.27192,3
0.26264,0.25948,0.27281,2
0.2635,0.2582,0.27246,1
0.26382,0.25932,0.27244,4
0.26385,0.2594,0.2726,3
0.26384,0.25973,0.27293,4
0.26394,0.25954,0.27481,1
0.26384,0.2597,0.27564,2
0.26393,0.25964,0.27391,4
0.26405,0.25975,0.27279,5
0.26382,0.25954,0.27393,6
0.26397,0.25974,0.27606,3
0.2647,0.25974,0.27615,2
0.26393,0.25976,0.27618,1
0.26384,0.25952,0.27277,1
0.26398,0.25969,0.274,3
0.26355,0.25977,0.27411,2
0.26396,0.25854,0.27321,4
0.26408,0.25957,0.27385,3
0.26294,0.25979,0.27282,2
0.26479,0.25995,0.27272,1
0.26488,0.25961,0.27619,3
0.26399,0.25965,0.27297,4
0.26414,0.25974,0.27298,4
0.26398,0.25974,0.27287,3
0.26393,0.25973,0.27515,5
0.26385,0.25974,0.27279,1
0.2657,0.25978,0.2762,2
0.26405,0.25988,0.27381,3
0.26391,0.25989,0.2737,1
0.26411,0.25969,0.27633,1
0.26373,0.25957,0.27288,3
0.26402,0.25968,0.27286,4
0.26483,0.25831,0.2751,2
0.26382,0.25992,0.27274,3
0.26403,0.2596,0.27619,4
0.264,0.25939,0.27517,3
0.26408,0.25973,0.27512,2
0.26504,0.25929,0.27367,1
0.26434,0.25971,0.27505,3
0.26406,0.25969,0.27527,4
0.2642,0.25971,0.27402,5
0.26494,0.25978,0.27311,3
0.26386,0.25967,0.27294,1
0.26668,0.25974,0.27477,2
0.26489,0.26091,0.2728,3
0.26397,0.25959,0.27379,4
0.26567,0.2595,0.27403,5
0.26653,0.26082,0.27375,3
0.26599,0.2594,0.27388,1
0.26495,0.25915,0.27486,2
0.26478,0.25945,0.27477,2
0.26482,0.25953,0.27515,1
0.26385,0.25958,0.27286,1
0.31105,0.30231,0.32123,7
